id,rmse,pck
match_72_001360_png_jpg.rf.2052b2d047c7b6e9bf077bfd85f163b6,654.9395130980115,0.0
match_72_009240_png_jpg.rf.83afc5a025e7eb922a3b3cce0fdc2c15,644.1651519372122,0.0
match_72_017200_png_jpg.rf.268ef3b9a43b7b458275b49c7d1bcc92,672.0596405997939,0.0
test_image_10_png_jpg.rf.f386fada46acf435705be598393d8e26,996.6412004599924,0.0
test_image_1_png_jpg.rf.c637dc1f7f9f7e7cef2e24332a372625,997.0109183388853,0.0
test_image_2_png_jpg.rf.61bf2789909810d5bac9b70fe781afa7,990.142348034885,0.0
test_image_3_png_jpg.rf.a03e7ed5d60842b2f45ecb1cb1bb854d,930.5393349856489,0.0
test_image_4_png_jpg.rf.723e298b3ad6033d5a42d7560fee4dde,1006.7603531539035,0.0
test_image_5_png_jpg.rf.56d99455224dd81fb9f0ee0c16b3dd1e,978.6285876426638,0.0
test_image_6_png_jpg.rf.dfe281d1b16fbab64b7f056134442133,947.0483975359338,0.0
test_image_7_png_jpg.rf.59537d4fe639f425553860002d6475fd,1006.8969623045363,0.0
test_image_8_png_jpg.rf.2b8f3610b0368da35c5ed0915477dc4f,974.4100017129695,0.0
test_image_9_png_jpg.rf.6f6ebc474c2c171caa429bea4e4a393c,955.2284154459318,0.0
